trans_id,is_aggr_trans,org_id,center_id,collection_id,is_active,transaction_cd,trans_type,trans_subtype,mode,amount,recorded_by,scrap_type_id,recon_status,recon_by,recon_at,recon_comment,is_settled,from_user,from_customer,to_user,created_by,created_at,trans_comments,parent_trans_id,request_id,deposit_trans_ids,actual_created_at
45000,False,1,13,45000,True,,CREDIT,RECORD_PAYMENT,CASH,11200.0,2368,0,ACCEPTED,2368,2026-02-04,HEV-UPW-157,True,0,6010,2368,2368,2026-02-04,HEV-UPW-157,,,,2026-05-18 06:57:36.966338
45001,False,1,5,45005,True,,CREDIT,RECORD_PAYMENT,CASH,29600.0,1071,0,ACCEPTED,1071,2026-02-11,HEV-UP-196,True,0,328,1071,1071,2026-02-11,HEV-UP-196,,,,2026-05-18 06:57:37.005169
45002,False,1,5,45005,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,3000.0,1071,0,ACCEPTED,1071,2026-02-11,HEV-UP-196,True,0,328,1071,1071,2026-02-11,HEV-UP-196,,,,2026-05-18 06:57:37.005169
45003,False,1,4,45007,True,,CREDIT,RECORD_PAYMENT,CASH,6720.0,1084,0,ACCEPTED,1084,2026-02-06,HEV-UP-478,True,0,1471,1084,1084,2026-02-06,HEV-UP-478,,,,2026-05-18 06:57:37.022390
45004,False,1,4,45007,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,5000.0,1084,0,ACCEPTED,1084,2026-02-06,HEV-UP-478,True,0,1471,1084,1084,2026-02-06,HEV-UP-478,,,,2026-05-18 06:57:37.022390
45005,False,1,5,45008,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,45000.0,1071,0,ACCEPTED,1071,2026-02-14,HEV-UP-520,True,0,1649,1071,1071,2026-02-14,HEV-UP-520,,,,2026-05-18 06:57:37.030152
45006,False,1,3,45016,True,,CREDIT,RECORD_PAYMENT,CASH,41000.0,1060,0,ACCEPTED,1060,2026-03-02,HEV-000647,True,0,1525,1060,1060,2026-03-02,HEV-000647,,,,2026-05-18 06:57:37.117093
