collection_id,loan_id,application_no,outcome,reason
56520,280,HEV-UP-148,not_updated,part_payment_not_handled
56521,280,HEV-UP-148,not_updated,part_payment_not_handled
25164,281,HEV-UP-206,not_updated,combine_paid_on_missing_or_invalid
52170,288,HEV-RJ-134,not_updated,non_pending_in_dp_export
52171,288,HEV-RJ-134,not_updated,part_payment_not_handled
52174,292,HEV-RJ-151,not_updated,non_pending_in_dp_export
52175,292,HEV-RJ-151,not_updated,part_payment_not_handled
6511,292,HEV-RJ-151,would_update_or_updated,
52699,295,HEV-RJ-126,not_updated,non_pending_in_dp_export
52700,295,HEV-RJ-126,not_updated,part_payment_not_handled
25055,318,HEV-UP-196,not_updated,combine_close_type_blocked
25056,318,HEV-UP-196,not_updated,combine_close_type_blocked
25057,318,HEV-UP-196,not_updated,combine_close_type_blocked
58451,328,HEV-000368,not_updated,non_pending_in_dp_export
58452,328,HEV-000368,not_updated,part_payment_not_handled
13588,339,HEV-000321,not_updated,combine_paid_on_missing_or_invalid
14008,342,HEV-000351,not_updated,combine_close_type_blocked
14009,342,HEV-000351,not_updated,combine_close_type_blocked
14010,342,HEV-000351,not_updated,combine_close_type_blocked
56538,348,HEV-UP-232,not_updated,non_pending_in_dp_export
56539,348,HEV-UP-232,not_updated,part_payment_not_handled
56701,349,HEV-RJ-118,not_updated,non_pending_in_dp_export
56702,349,HEV-RJ-118,not_updated,part_payment_not_handled
25129,357,HEV-UP-203,not_updated,combine_paid_on_missing_or_invalid
57517,364,HEV-000340,not_updated,non_pending_in_dp_export
57518,364,HEV-000340,not_updated,part_payment_not_handled
52178,377,HEV-000335,not_updated,non_pending_in_dp_export
52179,377,HEV-000335,not_updated,part_payment_not_handled
59278,377,HEV-000335,not_updated,non_pending_in_dp_export
59279,377,HEV-000335,not_updated,part_payment_not_handled
53313,380,HEV-RJ-130,not_updated,non_pending_in_dp_export
53314,380,HEV-RJ-130,not_updated,part_payment_not_handled
54626,381,HEV-RJ-117,not_updated,non_pending_in_dp_export
54627,381,HEV-RJ-117,not_updated,part_payment_not_handled
6043,381,HEV-RJ-117,would_update_or_updated,
66498,390,HEV-000367,not_updated,non_pending_in_dp_export
66499,390,HEV-000367,not_updated,no_COMBINE_for_loan
25428,401,HEV-UP-227,would_update_or_updated,
14322,409,HEV-000373,not_updated,amount_mismatch_exact_required
58220,410,HEV-UP-144,not_updated,non_pending_in_dp_export
58221,410,HEV-UP-144,not_updated,part_payment_not_handled
24396,410,HEV-UP-144,not_updated,combine_paid_on_missing_or_invalid
25080,417,HEV-UP-198,not_updated,combine_close_type_blocked
25081,417,HEV-UP-198,not_updated,combine_close_type_blocked
58453,423,HEV-RJ-114,not_updated,non_pending_in_dp_export
58454,423,HEV-RJ-114,not_updated,part_payment_not_handled
6001,423,HEV-RJ-114,not_updated,amount_mismatch_exact_required
5900,424,HEV-RJ-106,not_updated,combine_paid_on_missing_or_invalid
59440,425,HEV-UP-205,not_updated,non_pending_in_dp_export
59441,425,HEV-UP-205,not_updated,part_payment_not_handled
67185,427,HEV-RJ-158,not_updated,non_pending_in_dp_export
67186,427,HEV-RJ-158,not_updated,part_payment_not_handled
57356,447,HEV-UP-257,not_updated,non_pending_in_dp_export
57357,447,HEV-UP-257,not_updated,part_payment_not_handled
25744,447,HEV-UP-257,would_update_or_updated,
24792,451,HEV-UP-177,would_update_or_updated,
56526,452,HEV-UP-218,not_updated,part_payment_not_handled
56527,452,HEV-UP-218,not_updated,part_payment_not_handled
25307,452,HEV-UP-218,not_updated,combine_paid_on_missing_or_invalid
13618,457,HEV-000323,not_updated,combine_paid_on_missing_or_invalid
57373,468,HEV-RJ-115,not_updated,non_pending_in_dp_export
57374,468,HEV-RJ-115,not_updated,part_payment_not_handled
56978,476,HEV-RJ-149,not_updated,non_pending_in_dp_export
56979,476,HEV-RJ-149,not_updated,part_payment_not_handled
14504,484,HEV-000385,not_updated,combine_paid_on_missing_or_invalid
13606,492,HEV-000322,not_updated,combine_paid_on_missing_or_invalid
14396,493,HEV-000378,not_updated,combine_paid_on_missing_or_invalid
52703,496,HEV-000357,not_updated,non_pending_in_dp_export
52704,496,HEV-000357,not_updated,part_payment_not_handled
60829,500,HEV-000324,not_updated,non_pending_in_dp_export
60830,500,HEV-000324,not_updated,part_payment_not_handled
51626,505,HEV-RJ-155,not_updated,non_pending_in_dp_export
51627,505,HEV-RJ-155,not_updated,part_payment_not_handled
6577,505,HEV-RJ-155,not_updated,amount_mismatch_exact_required
56703,511,HEV-000338,not_updated,non_pending_in_dp_export
56704,511,HEV-000338,not_updated,part_payment_not_handled
57236,517,HEV-UP-229,not_updated,non_pending_in_dp_export
57237,517,HEV-UP-229,not_updated,part_payment_not_handled
64797,517,HEV-UP-229,not_updated,non_pending_in_dp_export
64798,517,HEV-UP-229,not_updated,part_payment_not_handled
54663,519,HEV-RJ-135,not_updated,non_pending_in_dp_export
54664,519,HEV-RJ-135,not_updated,part_payment_not_handled
6322,519,HEV-RJ-135,not_updated,combine_paid_on_missing_or_invalid
51220,530,HEV-000371,not_updated,non_pending_in_dp_export
51221,530,HEV-000371,not_updated,part_payment_not_handled
14426,532,HEV-000380,not_updated,combine_paid_on_missing_or_invalid
14640,544,HEV-000394,not_updated,combine_close_type_blocked
14641,544,HEV-000394,not_updated,combine_close_type_blocked
25580,548,HEV-UP-239,would_update_or_updated,
25581,548,HEV-UP-239,would_update_or_updated,
35168,553,HEV-000341,not_updated,no_COMBINE_for_loan
35169,553,HEV-000341,not_updated,no_COMBINE_for_loan
51789,567,HEV-000402,not_updated,non_pending_in_dp_export
51790,567,HEV-000402,not_updated,part_payment_not_handled
57842,567,HEV-000402,not_updated,non_pending_in_dp_export
57843,567,HEV-000402,not_updated,part_payment_not_handled
63794,567,HEV-000402,not_updated,non_pending_in_dp_export
63795,567,HEV-000402,not_updated,part_payment_not_handled
57915,574,HEV-UP-248,not_updated,non_pending_in_dp_export
57916,574,HEV-UP-248,not_updated,part_payment_not_handled
52162,577,HEV-RJ-160,not_updated,non_pending_in_dp_export
52163,577,HEV-RJ-160,not_updated,part_payment_not_handled
6636,577,HEV-RJ-160,would_update_or_updated,
57573,586,HEV-000411,not_updated,non_pending_in_dp_export
57574,586,HEV-000411,not_updated,part_payment_not_handled
14933,586,HEV-000411,would_update_or_updated,
25730,595,HEV-UP-256,would_update_or_updated,
57354,614,HEV-RJ-171,not_updated,non_pending_in_dp_export
57355,614,HEV-RJ-171,not_updated,part_payment_not_handled
52164,632,HEV-RJ-167,not_updated,non_pending_in_dp_export
52165,632,HEV-RJ-167,not_updated,part_payment_not_handled
25897,637,HEV-UP-273,would_update_or_updated,
57509,649,HEV-UP-270,not_updated,part_payment_not_handled
57510,649,HEV-UP-270,not_updated,part_payment_not_handled
25862,649,HEV-UP-270,would_update_or_updated,
52753,657,HEV-000437,not_updated,non_pending_in_dp_export
52754,657,HEV-000437,not_updated,part_payment_not_handled
65208,657,HEV-000437,not_updated,non_pending_in_dp_export
65209,657,HEV-000437,not_updated,part_payment_not_handled
57583,659,HEV-UP-266,not_updated,part_payment_not_handled
57584,659,HEV-UP-266,not_updated,part_payment_not_handled
25830,665,HEV-UP-268,not_updated,amount_mismatch_exact_required
25849,666,HEV-UP-269,would_update_or_updated,
25939,675,HEV-UP-276,would_update_or_updated,
6866,678,HEV-RJ-177,not_updated,combine_paid_on_missing_or_invalid
6867,678,HEV-RJ-177,not_updated,combine_paid_on_missing_or_invalid
6868,678,HEV-RJ-177,not_updated,combine_paid_on_missing_or_invalid
65913,684,HEV-UP-279,not_updated,non_pending_in_dp_export
65914,684,HEV-UP-279,not_updated,part_payment_not_handled
26105,701,HEV-UP-289,would_update_or_updated,
56866,702,HEV-UP-326,not_updated,non_pending_in_dp_export
56867,702,HEV-UP-326,not_updated,part_payment_not_handled
57569,704,HEV-UP-331,not_updated,part_payment_not_handled
57570,704,HEV-UP-331,not_updated,part_payment_not_handled
15437,717,HEV-000451,not_updated,combine_paid_on_missing_or_invalid
57993,719,HEV-000447,not_updated,non_pending_in_dp_export
57994,719,HEV-000447,not_updated,part_payment_not_handled
15389,719,HEV-000447,not_updated,combine_paid_on_missing_or_invalid
55160,724,HEV-UP-292,not_updated,non_pending_in_dp_export
55161,724,HEV-UP-292,not_updated,part_payment_not_handled
59561,724,HEV-UP-292,not_updated,non_pending_in_dp_export
59562,724,HEV-UP-292,not_updated,part_payment_not_handled
67343,724,HEV-UP-292,not_updated,part_payment_not_handled
67344,724,HEV-UP-292,not_updated,part_payment_not_handled
60603,728,HEV-UP-286,not_updated,non_pending_in_dp_export
60604,728,HEV-UP-286,not_updated,part_payment_not_handled
55508,729,HEV-RJ-182,not_updated,non_pending_in_dp_export
55509,729,HEV-RJ-182,not_updated,part_payment_not_handled
55041,734,HEV-000453,not_updated,non_pending_in_dp_export
55042,734,HEV-000453,not_updated,part_payment_not_handled
59234,734,HEV-000453,not_updated,non_pending_in_dp_export
59235,734,HEV-000453,not_updated,part_payment_not_handled
15467,734,HEV-000453,not_updated,combine_paid_on_missing_or_invalid
60334,744,HEV-UP-291,not_updated,non_pending_in_dp_export
60335,744,HEV-UP-291,not_updated,part_payment_not_handled
54324,747,HEV-UP-293,not_updated,part_payment_not_handled
54325,747,HEV-UP-293,not_updated,part_payment_not_handled
59310,758,HEV-000456,not_updated,non_pending_in_dp_export
59311,758,HEV-000456,not_updated,part_payment_not_handled
15521,761,HEV-000457,not_updated,combine_paid_on_missing_or_invalid
15533,764,HEV-000458,not_updated,combine_paid_on_missing_or_invalid
7083,772,HEV-RJ-192,would_update_or_updated,
60116,774,HEV-UP-297,not_updated,non_pending_in_dp_export
60117,774,HEV-UP-297,not_updated,part_payment_not_handled
60847,776,HEV-UP-296,not_updated,non_pending_in_dp_export
60848,776,HEV-UP-296,not_updated,part_payment_not_handled
15587,779,HEV-000461,not_updated,combine_paid_on_missing_or_invalid
7096,783,HEV-RJ-194,not_updated,combine_paid_on_missing_or_invalid
26573,806,HEV-UP-328,would_update_or_updated,
7108,812,HEV-RJ-196,not_updated,combine_paid_on_missing_or_invalid
51876,818,HEV-RJ-198,not_updated,non_pending_in_dp_export
51877,818,HEV-RJ-198,not_updated,part_payment_not_handled
15743,835,HEV-000472,not_updated,combine_paid_on_missing_or_invalid
60550,838,HEV-000473,not_updated,non_pending_in_dp_export
60551,838,HEV-000473,not_updated,part_payment_not_handled
15761,838,HEV-000473,not_updated,combine_paid_on_missing_or_invalid
15863,843,HEV-000480,not_updated,combine_paid_on_missing_or_invalid
15797,844,HEV-000475,not_updated,combine_paid_on_missing_or_invalid
26433,845,HEV-UP-315,not_updated,combine_paid_on_missing_or_invalid
26445,846,HEV-UP-316,not_updated,combine_paid_on_missing_or_invalid
26475,856,HEV-UP-318,not_updated,combine_paid_on_missing_or_invalid
56137,860,HEV-RJ-202,not_updated,non_pending_in_dp_export
56138,860,HEV-RJ-202,not_updated,part_payment_not_handled
56675,863,HEV-000484,not_updated,non_pending_in_dp_export
56676,863,HEV-000484,not_updated,part_payment_not_handled
26510,864,HEV-UP-321,would_update_or_updated,
26544,884,HEV-UP-325,not_updated,combine_close_type_blocked
26545,884,HEV-UP-325,not_updated,combine_close_type_blocked
26546,884,HEV-UP-325,not_updated,combine_close_type_blocked
26645,891,HEV-UP-333,would_update_or_updated,
56705,901,HEV-000493,not_updated,non_pending_in_dp_export
56706,901,HEV-000493,not_updated,part_payment_not_handled
64008,901,HEV-000493,not_updated,non_pending_in_dp_export
64009,901,HEV-000493,not_updated,part_payment_not_handled
16106,915,HEV-000498,not_updated,combine_paid_on_missing_or_invalid
16107,915,HEV-000498,not_updated,combine_paid_on_missing_or_invalid
16108,915,HEV-000498,not_updated,combine_paid_on_missing_or_invalid
16109,915,HEV-000498,not_updated,combine_paid_on_missing_or_invalid
26787,931,HEV-UP-345,would_update_or_updated,
26788,931,HEV-UP-345,would_update_or_updated,
16175,941,HEV-000502,not_updated,amount_mismatch_exact_required
26821,955,HEV-UP-348,not_updated,combine_paid_on_missing_or_invalid
26822,955,HEV-UP-348,not_updated,combine_paid_on_missing_or_invalid
26823,955,HEV-UP-348,not_updated,combine_paid_on_missing_or_invalid
26824,955,HEV-UP-348,not_updated,combine_paid_on_missing_or_invalid
26825,955,HEV-UP-348,not_updated,combine_paid_on_missing_or_invalid
50293,958,HEV-UP-351,not_updated,non_pending_in_dp_export
50294,958,HEV-UP-351,not_updated,part_payment_not_handled
17518,961,HEV-000607,not_updated,combine_paid_on_missing_or_invalid
26805,964,HEV-UP-347,would_update_or_updated,
26807,964,HEV-UP-347,would_update_or_updated,
26975,982,HEV-UP-361,would_update_or_updated,
26849,991,HEV-UP-350,would_update_or_updated,
26909,992,HEV-UP-355,would_update_or_updated,
26878,993,HEV-UP-353,would_update_or_updated,
26879,993,HEV-UP-353,would_update_or_updated,
64846,1002,HEV-UP-362,not_updated,non_pending_in_dp_export
64847,1002,HEV-UP-362,not_updated,part_payment_not_handled
27124,1004,HEV-UP-372,would_update_or_updated,
26956,1006,HEV-UP-360,would_update_or_updated,
26957,1006,HEV-UP-360,would_update_or_updated,
61845,1007,HEV-000514,not_updated,non_pending_in_dp_export
61846,1007,HEV-000514,not_updated,part_payment_not_handled
27003,1011,HEV-UP-363,would_update_or_updated,
27004,1011,HEV-UP-363,would_update_or_updated,
64795,1011,HEV-UP-363,not_updated,part_payment_not_handled
64796,1011,HEV-UP-363,not_updated,part_payment_not_handled
57533,1012,HEV-RJ-231,not_updated,non_pending_in_dp_export
57534,1012,HEV-RJ-231,not_updated,part_payment_not_handled
27015,1013,HEV-UP-364,would_update_or_updated,
27016,1013,HEV-UP-364,would_update_or_updated,
16331,1014,HEV-000512,would_update_or_updated,
26943,1017,HEV-UP-359,would_update_or_updated,
27058,1024,HEV-UP-367,would_update_or_updated,
16420,1028,HEV-000518,not_updated,combine_close_type_blocked
16421,1028,HEV-000518,not_updated,combine_close_type_blocked
57539,1029,HEV-UP-382,not_updated,part_payment_not_handled
57540,1029,HEV-UP-382,not_updated,part_payment_not_handled
27264,1034,HEV-UP-383,not_updated,amount_mismatch_exact_required
27265,1034,HEV-UP-383,not_updated,amount_mismatch_exact_required
27266,1034,HEV-UP-383,not_updated,amount_mismatch_exact_required
27267,1034,HEV-UP-383,not_updated,amount_mismatch_exact_required
27268,1034,HEV-UP-383,not_updated,amount_mismatch_exact_required
27159,1042,HEV-UP-375,would_update_or_updated,
27172,1045,HEV-UP-376,would_update_or_updated,
27209,1048,HEV-UP-379,would_update_or_updated,
16526,1058,HEV-000528,not_updated,amount_mismatch_exact_required
56530,1065,HEV-UP-385,not_updated,non_pending_in_dp_export
56531,1065,HEV-UP-385,not_updated,part_payment_not_handled
27341,1079,HEV-UP-390,would_update_or_updated,
16580,1098,HEV-000533,would_update_or_updated,
61603,1101,HEV-UP-397,not_updated,part_payment_not_handled
61604,1101,HEV-UP-397,not_updated,part_payment_not_handled
66198,1112,HEV-000538,not_updated,non_pending_in_dp_export
66199,1112,HEV-000538,not_updated,part_payment_not_handled
34111,1120,HEV-FINTR-2,not_updated,combine_paid_on_missing_or_invalid
34112,1120,HEV-FINTR-2,not_updated,combine_paid_on_missing_or_invalid
34113,1120,HEV-FINTR-2,not_updated,combine_paid_on_missing_or_invalid
34114,1120,HEV-FINTR-2,not_updated,combine_paid_on_missing_or_invalid
50308,1137,HEV-UP-410,not_updated,part_payment_not_handled
50309,1137,HEV-UP-410,not_updated,part_payment_not_handled
16694,1139,HEV-000543,not_updated,combine_paid_on_missing_or_invalid
27730,1141,HEV-UP-422,not_updated,combine_paid_on_missing_or_invalid
27564,1156,HEV-UP-409,would_update_or_updated,
55037,1179,HEV-UP-415,not_updated,non_pending_in_dp_export
55038,1179,HEV-UP-415,not_updated,part_payment_not_handled
16824,1182,HEV-000553,not_updated,combine_paid_on_missing_or_invalid
17162,1208,HEV-000577,not_updated,combine_paid_on_missing_or_invalid
17163,1208,HEV-000577,not_updated,combine_paid_on_missing_or_invalid
52745,1209,HEV-RJ-247,not_updated,non_pending_in_dp_export
52746,1209,HEV-RJ-247,not_updated,part_payment_not_handled
7692,1209,HEV-RJ-247,not_updated,combine_paid_on_missing_or_invalid
7716,1212,HEV-RJ-249,not_updated,combine_paid_on_missing_or_invalid
16890,1216,HEV-000557,not_updated,combine_paid_on_missing_or_invalid
16905,1218,HEV-000558,not_updated,combine_close_type_blocked
16906,1218,HEV-000558,not_updated,combine_close_type_blocked
16907,1218,HEV-000558,not_updated,combine_close_type_blocked
16908,1218,HEV-000558,not_updated,combine_close_type_blocked
7743,1223,HEV-RJ-251,not_updated,combine_close_type_blocked
7744,1223,HEV-RJ-251,not_updated,combine_close_type_blocked
7745,1223,HEV-RJ-251,not_updated,combine_close_type_blocked
7746,1223,HEV-RJ-251,not_updated,combine_close_type_blocked
16974,1224,HEV-000564,not_updated,combine_paid_on_missing_or_invalid
60797,1226,HEV-000565,not_updated,non_pending_in_dp_export
60798,1226,HEV-000565,not_updated,part_payment_not_handled
17037,1235,HEV-000568,not_updated,combine_paid_on_missing_or_invalid
60121,1238,HEV-RJ-254,not_updated,non_pending_in_dp_export
60122,1238,HEV-RJ-254,not_updated,part_payment_not_handled
60123,1238,HEV-RJ-254,not_updated,non_pending_in_dp_export
60124,1238,HEV-RJ-254,not_updated,part_payment_not_handled
7776,1238,HEV-RJ-254,not_updated,combine_paid_on_missing_or_invalid
27981,1245,HEV-UP-440,not_updated,amount_mismatch_exact_required
27820,1252,HEV-UP-428,not_updated,combine_paid_on_missing_or_invalid
17145,1255,HEV-000575,not_updated,combine_paid_on_missing_or_invalid
17175,1257,HEV-000578,not_updated,combine_paid_on_missing_or_invalid
55639,1258,HEV-RJ-256,not_updated,non_pending_in_dp_export
55640,1258,HEV-RJ-256,not_updated,part_payment_not_handled
7806,1258,HEV-RJ-256,not_updated,combine_paid_on_missing_or_invalid
27903,1263,HEV-UP-434,would_update_or_updated,
17157,1264,HEV-000576,not_updated,combine_paid_on_missing_or_invalid
7794,1267,HEV-RJ-255,not_updated,combine_paid_on_missing_or_invalid
27939,1280,HEV-UP-437,would_update_or_updated,
27968,1288,HEV-UP-439,would_update_or_updated,
52168,1289,HEV-RJ-262,not_updated,non_pending_in_dp_export
52169,1289,HEV-RJ-262,not_updated,part_payment_not_handled
52180,1293,HEV-000586,not_updated,non_pending_in_dp_export
52181,1293,HEV-000586,not_updated,part_payment_not_handled
53309,1300,HEV-000629,not_updated,non_pending_in_dp_export
53310,1300,HEV-000629,not_updated,part_payment_not_handled
17365,1322,HEV-000595,not_updated,amount_mismatch_exact_required
28076,1324,HEV-UP-448,not_updated,amount_mismatch_exact_required
28091,1336,HEV-UP-449,would_update_or_updated,
65193,1342,HEV-UP-453,not_updated,part_payment_not_handled
65194,1342,HEV-UP-453,not_updated,part_payment_not_handled
57527,1347,HEV-000622,not_updated,non_pending_in_dp_export
57528,1347,HEV-000622,not_updated,part_payment_not_handled
56956,1350,HEV-RJ-273,not_updated,non_pending_in_dp_export
56957,1350,HEV-RJ-273,not_updated,part_payment_not_handled
52176,1354,HEV-RJ-270,not_updated,non_pending_in_dp_export
52177,1354,HEV-RJ-270,not_updated,part_payment_not_handled
28191,1367,HEV-UP-458,would_update_or_updated,
57561,1369,HEV-UP-465,not_updated,part_payment_not_handled
57562,1369,HEV-UP-465,not_updated,part_payment_not_handled
28287,1369,HEV-UP-465,would_update_or_updated,
62941,1372,HEV-000609,not_updated,part_payment_not_handled
62942,1372,HEV-000609,not_updated,part_payment_not_handled
56864,1374,HEV-UP-459,not_updated,non_pending_in_dp_export
56865,1374,HEV-UP-459,not_updated,part_payment_not_handled
28209,1374,HEV-UP-459,would_update_or_updated,
17536,1376,HEV-000608,would_update_or_updated,
28351,1378,HEV-UP-469,would_update_or_updated,
2506,1394,HEV-UPW-6,not_updated,amount_mismatch_exact_required
2507,1394,HEV-UPW-6,not_updated,amount_mismatch_exact_required
57521,1411,HEV-000627,not_updated,non_pending_in_dp_export
57522,1411,HEV-000627,not_updated,part_payment_not_handled
28395,1418,HEV-UP-472,would_update_or_updated,
56332,1420,HEV-UP-473,not_updated,non_pending_in_dp_export
56333,1420,HEV-UP-473,not_updated,part_payment_not_handled
60554,1420,HEV-UP-473,not_updated,non_pending_in_dp_export
60555,1420,HEV-UP-473,not_updated,part_payment_not_handled
28405,1420,HEV-UP-473,would_update_or_updated,
53833,1422,HEV-000681,not_updated,non_pending_in_dp_export
53834,1422,HEV-000681,not_updated,part_payment_not_handled
57525,1425,HEV-000632,not_updated,non_pending_in_dp_export
57526,1425,HEV-000632,not_updated,part_payment_not_handled
52749,1445,HEV-000638,not_updated,non_pending_in_dp_export
52750,1445,HEV-000638,not_updated,part_payment_not_handled
57331,1445,HEV-000638,not_updated,non_pending_in_dp_export
57332,1445,HEV-000638,not_updated,part_payment_not_handled
56532,1462,HEV-UP-484,not_updated,part_payment_not_handled
56533,1462,HEV-UP-484,not_updated,part_payment_not_handled
60114,1464,HEV-000643,not_updated,part_payment_not_handled
60115,1464,HEV-000643,not_updated,part_payment_not_handled
28596,1467,HEV-UP-487,not_updated,amount_mismatch_exact_required
28597,1467,HEV-UP-487,not_updated,amount_mismatch_exact_required
28598,1467,HEV-UP-487,would_update_or_updated,
28599,1467,HEV-UP-487,would_update_or_updated,
64554,1467,HEV-UP-487,not_updated,non_pending_in_dp_export
64555,1467,HEV-UP-487,not_updated,part_payment_not_handled
56107,1475,HEV-000646,not_updated,combine_paid_on_missing_or_invalid
56108,1475,HEV-000646,not_updated,combine_paid_on_missing_or_invalid
28622,1476,HEV-UP-490,would_update_or_updated,
18070,1484,HEV-000647,not_updated,combine_close_type_blocked
18071,1484,HEV-000647,not_updated,combine_close_type_blocked
18128,1489,HEV-000653,not_updated,combine_paid_on_missing_or_invalid
28635,1491,HEV-UP-491,would_update_or_updated,
28636,1491,HEV-UP-491,would_update_or_updated,
8086,1492,HEV-RJ-278,would_update_or_updated,
28689,1496,HEV-UP-495,would_update_or_updated,
