trans_id,is_aggr_trans,org_id,center_id,collection_id,is_active,transaction_cd,trans_type,trans_subtype,mode,amount,recorded_by,scrap_type_id,recon_status,recon_by,recon_at,recon_comment,is_settled,from_user,from_customer,to_user,created_by,created_at,trans_comments,parent_trans_id,request_id,deposit_trans_ids,actual_created_at
25000,True,1,4,75678,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000,1084,0,ACCEPTED,1084,2025-10-13T00:00:00+00:00,,True,0,721,1084,1084,2025-10-13T00:00:00+00:00,HEV-UP-281,,,,2026-05-18T07:03:44.954407+00:00
25001,True,1,4,75679,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000,1084,0,ACCEPTED,1084,2025-11-09T00:00:00+00:00,,True,0,721,1084,1084,2025-11-09T00:00:00+00:00,HEV-UP-281,,,,2026-05-18T07:03:44.954467+00:00
25002,True,1,4,75680,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000,1084,0,ACCEPTED,1084,2025-12-07T00:00:00+00:00,,True,0,721,1084,1084,2025-12-07T00:00:00+00:00,HEV-UP-281,,,,2026-05-18T07:03:44.954518+00:00
25003,True,1,4,75681,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000,1084,0,ACCEPTED,1084,2026-01-11T00:00:00+00:00,,True,0,721,1084,1084,2026-01-11T00:00:00+00:00,HEV-UP-281,,,,2026-05-18T07:03:44.954564+00:00
25004,True,1,5,72916,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000,1071,0,ACCEPTED,1071,2025-08-08T00:00:00+00:00,,True,0,111,1071,1071,2025-08-08T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955413+00:00
25005,True,1,5,72917,True,,CREDIT,RECORD_PAYMENT,CASH,5000,1071,0,ACCEPTED,1071,2025-09-08T00:00:00+00:00,,True,0,111,1071,1071,2025-09-08T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955461+00:00
25006,True,1,5,72918,True,,CREDIT,RECORD_PAYMENT,CASH,5000,1071,0,ACCEPTED,1071,2025-10-10T00:00:00+00:00,,True,0,111,1071,1071,2025-10-10T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955508+00:00
25007,True,1,5,72919,True,,CREDIT,RECORD_PAYMENT,CASH,4500,1071,0,ACCEPTED,1071,2025-11-08T00:00:00+00:00,,True,0,111,1071,1071,2025-11-08T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955556+00:00
25008,True,1,5,72919,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,500,1071,0,ACCEPTED,1071,2025-11-08T00:00:00+00:00,,True,0,111,1071,1071,2025-11-08T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955556+00:00
25009,True,1,5,72920,True,,CREDIT,RECORD_PAYMENT,CASH,4500,1071,0,ACCEPTED,1071,2025-12-13T00:00:00+00:00,,True,0,111,1071,1071,2025-12-13T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955602+00:00
25010,True,1,5,72920,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,500,1071,0,ACCEPTED,1071,2025-12-13T00:00:00+00:00,,True,0,111,1071,1071,2025-12-13T00:00:00+00:00,HEV-UP-118,,,,2026-05-18T07:03:44.955602+00:00
25011,True,1,5,24706,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3600,1071,0,ACCEPTED,1071,2026-02-02T00:00:00+00:00,,True,0,4282,1071,1071,2026-02-02T00:00:00+00:00,HEV-UP-171,,,,2026-05-18T07:03:44.956303+00:00
25012,True,1,4,28489,True,,CREDIT,RECORD_PAYMENT,CASH,3280,1084,0,ACCEPTED,1084,2026-02-06T00:00:00+00:00,,True,0,1471,1084,1084,2026-02-06T00:00:00+00:00,HEV-UP-478,,,,2026-05-18T07:03:44.957200+00:00
25013,True,1,4,28489,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,880,1084,0,ACCEPTED,1084,2026-02-06T00:00:00+00:00,,True,0,1471,1084,1084,2026-02-06T00:00:00+00:00,HEV-UP-478,,,,2026-05-18T07:03:44.957200+00:00
25014,True,1,6,72928,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4200,3583,0,ACCEPTED,3583,2025-06-10T00:00:00+00:00,,True,0,4116,3583,3583,2025-06-10T00:00:00+00:00,HEV-RJ-11,,,,2026-05-18T07:03:44.958934+00:00
25015,True,1,6,72929,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4200,3583,0,ACCEPTED,3583,2025-07-10T00:00:00+00:00,,True,0,4116,3583,3583,2025-07-10T00:00:00+00:00,HEV-RJ-11,,,,2026-05-18T07:03:44.958992+00:00
25016,True,1,6,72930,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4200,3583,0,ACCEPTED,3583,2025-08-12T00:00:00+00:00,,True,0,4116,3583,3583,2025-08-12T00:00:00+00:00,HEV-RJ-11,,,,2026-05-18T07:03:44.959041+00:00
25017,True,1,6,72931,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4200,3583,0,ACCEPTED,3583,2025-09-10T00:00:00+00:00,,True,0,4116,3583,3583,2025-09-10T00:00:00+00:00,HEV-RJ-11,,,,2026-05-18T07:03:44.959089+00:00
25018,True,1,6,72932,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4200,3583,0,ACCEPTED,3583,2025-10-10T00:00:00+00:00,,True,0,4116,3583,3583,2025-10-10T00:00:00+00:00,HEV-RJ-11,,,,2026-05-18T07:03:44.959139+00:00
25019,True,1,6,73040,True,,CREDIT,RECORD_PAYMENT,CASH,4200,3583,0,ACCEPTED,3583,2025-07-18T00:00:00+00:00,,True,0,4148,3583,3583,2025-07-18T00:00:00+00:00,HEV-RJ-46,,,,2026-05-18T07:03:44.959580+00:00
25020,True,1,6,73041,True,,CREDIT,RECORD_PAYMENT,CASH,4200,3583,0,ACCEPTED,3583,2025-08-19T00:00:00+00:00,,True,0,4148,3583,3583,2025-08-19T00:00:00+00:00,HEV-RJ-46,,,,2026-05-18T07:03:44.959631+00:00
25021,True,1,6,73058,True,,CREDIT,RECORD_PAYMENT,CASH,4226,3583,0,ACCEPTED,3583,2025-07-21T00:00:00+00:00,,True,0,4157,3583,3583,2025-07-21T00:00:00+00:00,HEV-RJ-58,,,,2026-05-18T07:03:44.960154+00:00
25022,True,1,6,73059,True,,CREDIT,RECORD_PAYMENT,CASH,4226,3583,0,ACCEPTED,3583,2025-08-23T00:00:00+00:00,,True,0,4157,3583,3583,2025-08-23T00:00:00+00:00,HEV-RJ-58,,,,2026-05-18T07:03:44.960196+00:00
25023,True,1,6,73060,True,,CREDIT,RECORD_PAYMENT,CASH,4230,3583,0,ACCEPTED,3583,2025-09-26T00:00:00+00:00,,True,0,4157,3583,3583,2025-09-26T00:00:00+00:00,HEV-RJ-58,,,,2026-05-18T07:03:44.960242+00:00
25024,True,1,6,73061,True,,CREDIT,RECORD_PAYMENT,CASH,4226,3583,0,ACCEPTED,3583,2025-10-24T00:00:00+00:00,,True,0,4157,3583,3583,2025-10-24T00:00:00+00:00,HEV-RJ-58,,,,2026-05-18T07:03:44.960304+00:00
25025,True,1,6,73062,True,,CREDIT,RECORD_PAYMENT,CASH,4226,3583,0,ACCEPTED,3583,2025-11-24T00:00:00+00:00,,True,0,4157,3583,3583,2025-11-24T00:00:00+00:00,HEV-RJ-58,,,,2026-05-18T07:03:44.960364+00:00
25026,True,1,6,75700,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4426,3583,0,ACCEPTED,3583,2025-07-30T00:00:00+00:00,,True,0,43,3583,3583,2025-07-30T00:00:00+00:00,HEV-RJ-64,,,,2026-05-18T07:03:44.960706+00:00
25027,True,1,6,75701,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4426,3583,0,ACCEPTED,3583,2025-08-28T00:00:00+00:00,,True,0,43,3583,3583,2025-08-28T00:00:00+00:00,HEV-RJ-64,,,,2026-05-18T07:03:44.960752+00:00
25028,True,1,6,75702,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4426,3583,0,ACCEPTED,3583,2025-09-29T00:00:00+00:00,,True,0,43,3583,3583,2025-09-29T00:00:00+00:00,HEV-RJ-64,,,,2026-05-18T07:03:44.960798+00:00
25029,True,1,6,75703,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4426,3583,0,ACCEPTED,3583,2025-10-29T00:00:00+00:00,,True,0,43,3583,3583,2025-10-29T00:00:00+00:00,HEV-RJ-64,,,,2026-05-18T07:03:44.960843+00:00
25030,True,1,6,75715,True,,CREDIT,RECORD_PAYMENT,CASH,5100,3583,0,ACCEPTED,3583,2025-08-02T00:00:00+00:00,,True,0,4163,3583,3583,2025-08-02T00:00:00+00:00,HEV-RJ-67,,,,2026-05-18T07:03:44.961211+00:00
25031,True,1,6,75716,True,,CREDIT,RECORD_PAYMENT,CASH,1700,3583,0,ACCEPTED,3583,2025-09-06T00:00:00+00:00,,True,0,4163,3583,3583,2025-09-06T00:00:00+00:00,HEV-RJ-67,,,,2026-05-18T07:03:44.961255+00:00
