2026-05-18 12:27:32,593 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-18 12:27:32,680 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 18 validated tracker rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_1/script_1_validation_success_latest.xlsx
2026-05-18 12:27:32,681 | INFO | closed_loan_backfill.script_3_backfill_collection | input tracker rows by phase (normalized): {'PHASE_3': 18}
2026-05-18 12:27:32,829 | INFO | closed_loan_backfill.script_3_backfill_collection | generated DB sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/DB_SHEET.xlsx (266 rows)
2026-05-18 12:27:33,860 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 3662 LOS rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/LOS _Data.xlsx
2026-05-18 12:27:34,080 | INFO | closed_loan_backfill.script_3_backfill_collection | mapping-validated input: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_mapping_validated_input.xlsx
2026-05-18 12:27:34,080 | INFO | closed_loan_backfill.script_3_backfill_collection | latest success file: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_success_latest.xlsx
2026-05-18 12:27:34,093 | INFO | closed_loan_backfill.script_3_backfill_collection | updated collections sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_updated_collections_20260518_065732.xlsx
2026-05-18 12:27:34,102 | INFO | closed_loan_backfill.script_3_backfill_collection | amount mismatch sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_amount_mismatches_20260518_065732.xlsx
2026-05-18 12:27:34,103 | INFO | closed_loan_backfill.script_3_backfill_collection | cannot-update report: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_cannot_update_collections_20260518_065732.csv
2026-05-18 12:27:34,115 | INFO | closed_loan_backfill.script_3_backfill_collection | collections update manifest (for DB import): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_065732/collections_update_manifest.xlsx (7 rows)
2026-05-18 12:27:34,115 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_065732/collection_trans_20260518_065732.csv (10 rows)
2026-05-18 12:27:34,116 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_065732/collection_comments_20260518_065732.csv (7 rows)
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | === script_3_backfill_collection summary ===
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded records: 18
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | success count: 18
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | success by reason: {'validated_no_eligible_collection': 15, 'dry_run_staged': 3}
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | failed count: 0
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped count: 0
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | manual_intervention count: 0
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections count: 7
2026-05-18 12:27:34,234 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections by reason: {'DONE': 7}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql count: 10
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql by reason: {'CASH': 5, 'UPI': 5}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql count: 7
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | --- by tracker phase (normalized) ---
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | success rows by phase: {'PHASE_3': 18}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | failed rows by phase: {}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped rows by phase: {}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections rows by tracker_phase: {'PHASE_3': 7}
2026-05-18 12:27:34,235 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql rows by tracker phase: {'PHASE_3': 10}
2026-05-18 12:27:34,236 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql rows by tracker phase: {'PHASE_3': 7}
2026-05-18 12:27:34,236 | INFO | closed_loan_backfill.script_3_backfill_collection | audit files: {'success': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_success_20260518_065734.xlsx'), 'failed': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_failed_20260518_065734.xlsx'), 'skipped': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_skipped_20260518_065734.xlsx'), 'manual_intervention': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_manual_intervention_20260518_065734.xlsx')}
2026-05-18 12:27:34,236 | INFO | closed_loan_backfill.script_3_backfill_collection | script_3 summary: success_rows=18 failed_rows=0 skipped_rows=0 updated_collections=7 collection_trans_sql_rows=10 collection_comments_sql_rows=7
