2026-05-18 13:25:53,356 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-18 13:25:53,445 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 22 validated tracker rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_1/script_1_validation_success_latest.xlsx
2026-05-18 13:25:53,445 | INFO | closed_loan_backfill.script_3_backfill_collection | input tracker rows by phase (normalized): {'PHASE_3': 22}
2026-05-18 13:25:53,606 | INFO | closed_loan_backfill.script_3_backfill_collection | generated DB sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/DB_SHEET.xlsx (361 rows)
2026-05-18 13:25:54,790 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded 3662 LOS rows from /home/prince/Desktop/BACKFILL/closed_loan_backfill/source_sheets/LOS _Data.xlsx
2026-05-18 13:25:55,044 | INFO | closed_loan_backfill.script_3_backfill_collection | mapping-validated input: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_mapping_validated_input.xlsx
2026-05-18 13:25:55,044 | INFO | closed_loan_backfill.script_3_backfill_collection | latest success file: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_success_latest.xlsx
2026-05-18 13:25:55,049 | INFO | closed_loan_backfill.script_3_backfill_collection | updated collections sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_updated_collections_20260518_075553.xlsx
2026-05-18 13:25:55,056 | INFO | closed_loan_backfill.script_3_backfill_collection | amount mismatch sheet: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_amount_mismatches_20260518_075553.xlsx
2026-05-18 13:25:55,056 | INFO | closed_loan_backfill.script_3_backfill_collection | cannot-update report: /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_cannot_update_collections_20260518_075553.csv
2026-05-18 13:25:55,062 | INFO | closed_loan_backfill.script_3_backfill_collection | collections update manifest (for DB import): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_075553/collections_update_manifest.xlsx (0 rows)
2026-05-18 13:25:55,063 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_075553/collection_trans_20260518_075553.csv (0 rows)
2026-05-18 13:25:55,063 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments SQL CSV (PHASE_2 and PHASE_3): /home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_DB_sheets/script_3/20260518_075553/collection_comments_20260518_075553.csv (0 rows)
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | === script_3_backfill_collection summary ===
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | loaded records: 22
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | success count: 22
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | success by reason: {'validated_no_eligible_collection': 22}
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | failed count: 0
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped count: 0
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | manual_intervention count: 0
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections count: 0
2026-05-18 13:25:55,183 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql count: 0
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql count: 0
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | --- by tracker phase (normalized) ---
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | success rows by phase: {'PHASE_3': 22}
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | failed rows by phase: {}
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | skipped rows by phase: {}
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | updated_collections rows by tracker_phase: {}
2026-05-18 13:25:55,184 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_trans_sql rows by tracker phase: {}
2026-05-18 13:25:55,185 | INFO | closed_loan_backfill.script_3_backfill_collection | collection_comments_sql rows by tracker phase: {}
2026-05-18 13:25:55,185 | INFO | closed_loan_backfill.script_3_backfill_collection | audit files: {'success': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_success_20260518_075555.xlsx'), 'failed': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_failed_20260518_075555.xlsx'), 'skipped': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_skipped_20260518_075555.xlsx'), 'manual_intervention': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_3/script_3_backfill_manual_intervention_20260518_075555.xlsx')}
2026-05-18 13:25:55,185 | INFO | closed_loan_backfill.script_3_backfill_collection | script_3 summary: success_rows=22 failed_rows=0 skipped_rows=0 updated_collections=0 collection_trans_sql_rows=0 collection_comments_sql_rows=0
